1,0.096,0.479,0.48,1.135,
2,1.767,2.265,1.832,4.197,
3,1.317,1.98,1.383,4.388,
4,0.071,0.397,0.094,0.933,
5,0.511,1.856,0.616,2.665,
6,5.879,5.324,5.506,8.908,
7,0.898,1.867,0.768,3.477,
8,0.44,1.774,0.726,2.069,
9,0.975,1.611,1.543,4.289,
10,3.05,3.544,3.809,6.63,
11,1.481,2.366,1.991,4.234,
12,1.988,2.5,2.352,4.647,
13,0.84,1.828,1.081,3.135,
14,0.153,0.367,0.105,1.223,
15,0.42,1.41,0.727,1.738,
16,5.726,5.201,5.945,9.152,
17,0.31,0.955,0.37,1.124,
18,0.213,0.714,0.161,0.92,
19,2.311,2.758,2.384,4.901,
20,1.344,2.064,1.241,3.986,
21,0.103,0.427,0.121,0.55,
22,0.154,1.836,0.268,1.209,
23,0.143,0.826,0.21,1.006,
24,0.119,0.654,0.184,1.274,
25,2.349,2.895,2.823,5.184,
26,1.438,2.259,1.776,3.745,
27,0.189,1.533,0.221,0.811,
28,0.383,1.182,0.545,1.585,
29,1.268,2.148,1.28,3.428,
30,1.802,2.614,1.886,4.354,
31,0.183,0.146,0.281,0.318,
32,3.819,3.95,4.02,7.292,
33,0.208,3.342,0.296,1.268,
34,0.107,5.946,0.158,0.983,
35,1.502,2.73,1.978,5.225,
36,0.13,0.552,0.104,1.297,
37,0.946,1.492,0.709,2.768,
38,1.522,2.166,2.132,4.102,
39,1.17,2.096,1.723,3.422,
40,1.194,1.646,1.504,3.112,
41,0.135,0.461,0.158,1.407,
42,0.839,1.938,1.365,3.188,
43,0.447,1.634,0.785,2.249,
44,4.944,4.264,5.193,8.127,
45,0.058,0.028,0.028,0.046,
46,0.562,0.978,0.419,1.447,
47,1.233,1.956,1.464,3.415,
48,0.065,2.006,0.083,0.661,
49,0.703,1.753,0.95,3.069,
50,0.157,1.269,0.217,0.929,
51,0.149,0.824,0.166,1.031,
52,0.085,0.047,0.068,0.105,
53,0.084,0.508,0.107,1.41,
54,1.649,2.293,2.521,4.064,
55,0.809,1.588,1.396,3.07,
56,0.265,1.415,0.464,1.805,
57,0.445,1.469,0.73,2.289,
58,0.369,1.158,0.443,1.848,
59,0.574,1.162,0.62,2.387,
60,0.145,1.056,0.161,0.821,
61,1.005,8.068,1.164,3.284,
62,0.296,1.858,0.279,1.5,
63,1.145,1.74,1.23,3.125,
64,0.223,1.484,0.32,1.085,
65,0.041,0.034,0.056,0.052,
66,0.062,0.463,0.075,1.522,
67,0.894,1.543,0.914,2.92,
68,0.9,1.766,0.963,2.353,
69,0.785,0.498,0.772,0.945,
70,5.258,300,5.286,9.769,
71,3.13,3.949,4.303,7.114,
72,3.22,3.993,4.528,6.615,
73,0.469,1.293,0.66,1.971,
74,0.667,1.029,0.861,2.69,
75,0.317,0.255,0.467,0.452,
76,1.659,2.088,2.425,4.65,
77,1.881,2.967,2.432,4.723,
78,1.352,240.076,1.604,3.882,
79,1.276,2.35,1.591,3.385,
80,3.709,4.308,4.188,6.905,
81,0.348,1.624,0.436,1.633,
82,0.168,0.78,0.192,1.042,
83,0.135,0.483,0.099,1.453,
84,0.439,1.577,0.133,0.814,
85,0.398,1.618,0.595,1.955,
86,0.381,1.682,0.556,1.636,
87,0.25,1.309,0.44,1.422,
88,0.396,0.985,0.503,1.646,
89,0.391,1.546,0.597,1.833,
90,0.147,0.704,0.209,1.102,
91,2.827,3.609,3.368,6.148,
92,0.305,1.483,0.361,1.792,
93,0.99,1.373,1.098,2.93,
94,0.616,1.551,0.961,3.106,
95,1.649,2.788,2.254,6.325,
96,2.712,4.018,3.52,7.355,
97,0.127,0.709,0.148,1.008,
98,4.033,4.99,4.042,8.16,
99,3.01,3.803,3.018,7.399,
100,3.145,3.947,3.477,6.833,
101,0.591,1.897,0.741,2.475,
102,1.744,3.136,2.586,5.571,
103,0.065,0.305,0.088,1.268,
104,0.215,2.367,0.213,1.433,
105,0.484,1.85,0.769,1.955,
106,1.744,2.468,2.46,4.104,
107,0.239,1.508,0.372,1.339,
108,0.111,1.131,0.156,0.798,
109,2.015,59.607,2.455,4.993,
110,0.397,1.474,0.425,1.836,
111,0.859,1.671,0.88,3.327,
112,0.161,1.042,0.169,0.988,
113,0.361,1.756,0.462,2.247,
114,4.037,4.707,4.643,8.339,
115,0.285,1.146,0.221,1.149,
116,0.632,1.527,0.766,2.479,
117,0.916,1.974,1.078,2.865,
118,0.752,1.607,0.67,2.509,
119,0.134,1.065,0.147,0.842,
120,4.577,4.585,6.121,7.854,
121,4.338,4.932,5.879,8.049,
122,1.761,2.32,1.99,4.253,
123,1.63,2.436,2.091,4.822,
124,0.282,1.735,0.349,1.582,
125,2.432,2.9,2.995,5.782,
126,0.461,1.589,0.643,2.358,
127,0.15,0.914,0.186,1.24,
128,0.251,1.207,0.363,1.863,
129,1.033,1.869,1.328,4.312,
130,1.06,1.941,1.108,3.606,
131,0.148,0.864,0.146,1.052,
132,2.192,2.792,1.855,5.224,
133,4.471,5.016,4.481,8.455,
134,0.24,1.269,0.341,1.237,
135,1.145,2.101,1.846,3.528,
136,0.316,0.243,0.467,0.388,
137,7.456,6.589,9.181,11.348,
138,4.46,4.623,5.762,7.883,
139,0.65,1.632,0.788,2.362,
140,0.045,0.181,0.056,0.325,
141,0.384,1.694,0.44,2.627,
142,0.087,0.566,0.086,1.288,
143,1.565,1.92,1.77,4.106,
144,1.187,1.912,1.052,3.281,
145,0.079,0.324,0.071,0.803,
146,0.113,0.75,0.123,1.975,
147,2.083,2.336,2.042,4.119,
148,1.086,1.673,1.108,3.677,
149,1.791,1.97,1.659,4.273,
150,0.302,1.355,0.291,1.705,
151,1.711,2.353,1.562,4.779,
152,0.361,1.881,0.518,1.417,
153,0.115,1.592,0.175,0.978,
154,0.42,1.636,0.672,2.54,
155,0.371,1.157,0.245,1.042,
156,1.351,2.263,2.257,5.535,
157,0.068,0.447,0.087,1.18,
158,2.087,2.618,2.377,5.644,
159,1.063,1.69,0.807,2.729,
160,0.602,1.683,0.788,2.384,
161,1.486,2.225,1.374,3.586,
162,0.43,1.566,0.578,2.141,
163,0.312,1.914,0.333,1.38,
164,0.098,0.469,0.11,1.544,
165,2.209,3.264,2.767,5.242,
166,1.002,25.433,1.122,2.635,
167,0.399,1.429,0.528,1.787,
168,2.163,2.934,2.306,5.334,
169,1.79,2.611,1.661,4.715,
170,0.964,299.947,0.922,3.113,
171,0.725,300,1.163,3.069,
172,0.124,1.098,0.218,1.134,
173,0.775,0.516,1.096,2.775,
174,2.364,2.713,2.739,5.171,
175,0.301,0.881,0.461,1.354,
176,0.303,1.442,0.361,1.485,
177,0.923,2.003,1.042,2.992,
178,1.994,2.81,1.939,4.958,
179,0.137,0.828,0.122,0.93,
180,0.529,1.444,0.58,2.408,
181,0.261,2.542,0.315,1.545,
182,0.203,0.944,0.243,1.304,
183,0.272,1.189,0.286,1.497,
184,3.717,4.439,4.455,7.989,
185,0.734,1.742,0.969,2.839,
186,0.036,0.146,0.046,0.243,
187,1.091,1.805,1.289,3.134,
188,2.427,2.886,2.187,5.322,
189,2.918,3.524,2.795,5.809,
190,0.847,1.823,1.071,3.001,
191,2.6,2.899,3.187,5.617,
192,1.61,2.421,2.1,4.277,
193,0.223,2.231,0.33,1.35,
194,0.323,1.35,0.405,1.23,
195,0.059,0.035,0.083,0.633,
196,1.797,2.472,2.07,4.62,
197,7.851,6.834,7.86,11.905,
198,0.144,1.322,0.207,1.248,
199,1.301,2.352,1.576,4.558,
200,0.103,0.606,0.15,0.749,
201,0.269,1.224,0.341,1.424,
202,3.115,3.429,2.862,6.005,
203,0.051,0.322,0.064,0.607,
204,0.735,1.885,0.815,2.899,
205,5.48,5.357,5.445,9.274,
206,2.273,2.848,2.358,4.965,
207,0.858,1.813,0.803,3.152,
208,0.231,4.759,0.217,0.855,
209,0.58,1.144,0.782,2.173,
210,2.466,2.857,2.868,5.5,
211,0.441,59.418,0.547,2.291,
212,0.792,1.18,1.103,2.806,
213,0.762,1.55,0.828,3.115,
214,2.649,3.088,3.221,5.489,
215,0.468,1.512,0.625,1.827,
216,6.165,5.497,5.931,10.113,
217,1.046,2.152,1.209,3.522,
218,0.561,1.427,0.683,2.006,
219,0.167,1.219,0.185,0.885,
220,0.129,1.028,0.152,0.978,
221,3.047,3.368,3.11,5.778,
222,1.025,1.692,1.204,3.089,
223,0.525,1.774,0.806,1.986,
224,0.274,0.799,0.255,1.017,
225,0.255,1.676,0.391,1.662,
226,0.321,1.477,0.421,1.721,
227,0.656,1.674,0.629,2.41,
228,0.307,0.87,0.248,1.342,
229,0.304,1.202,0.486,1.348,
230,2.743,300,3.688,5.054,
231,0.308,1.039,0.438,1.531,
232,1.054,1.96,1.25,4.098,
233,0.712,1.549,0.817,2.652,
234,2.098,2.685,2.498,5.4,
235,1.155,1.963,1.272,3.808,
236,0.194,0.897,0.188,0.957,
237,0.394,1.577,0.645,3.09,
238,0.367,0.872,0.498,1.982,
239,3.497,3.415,2.96,5.675,
240,0.133,1.185,0.159,1.256,
241,1.348,1.898,1.295,3.577,
242,0.11,0.299,0.051,0.66,
243,0.193,1.023,0.247,0.966,
244,0.233,1.841,0.295,1.209,
245,0.214,2.121,0.322,1.455,
246,0.078,0.684,0.111,1.51,
247,1.716,2.403,1.658,4.277,
248,3.559,3.818,3.373,6.469,
249,0.05,0.194,0.075,0.452,
250,0.372,1.765,0.496,1.295,
251,1.33,2.3,1.955,3.939,
252,3.059,3.718,4.006,7.081,
253,0.289,1.122,0.461,1.826,
254,2.491,3.115,3.026,6.01,
255,0.173,1.41,0.295,1.218,
256,0.269,1.479,0.337,1.576,
257,1.105,2.096,1.48,4.452,
258,0.85,1.897,1.033,3.688,
259,2.337,2.928,2.514,5.168,
260,0.473,1.308,0.594,2.003,
261,0.105,0.771,0.117,0.903,
262,0.304,1.421,0.352,1.763,
263,0.265,1.361,0.476,1.293,
264,0.112,0.65,0.167,0.855,
265,0.725,1.463,0.788,2.656,
266,0.064,0.194,0.043,0.438,
267,0.238,0.854,0.271,1.135,
268,1.069,119.51,0.986,3.259,
269,2.586,3.049,3.19,5.627,
270,1.119,1.816,1.504,3.001,
271,0.92,1.787,1.133,2.582,
272,0.124,1.167,0.233,0.869,
273,1.956,3.461,3.298,6.323,
274,0.215,1.389,0.356,1.725,
275,0.822,1.722,0.861,3.523,
276,6.234,5.783,6.548,10.033,
277,0.171,1.442,0.355,1.062,
278,0.258,1.4,0.384,1.818,
279,0.304,1.172,0.347,1.515,
280,4.27,4.693,4.177,8.152,
281,5.212,5.041,5.344,9.034,
282,1.302,1.975,1.269,3.428,
283,1.992,2.44,2.196,4.802,
284,0.876,1.828,0.969,3.118,
285,0.446,1.398,0.524,2.202,
286,0.722,1.659,0.819,2.765,
287,0.628,1.675,0.59,2.965,
288,0.471,1.703,0.427,2.474,
289,0.251,1.342,0.205,0.907,
290,0.126,1.223,0.17,0.771,
291,1.992,2.313,2.549,4.473,
292,0.135,0.97,0.164,1.238,
293,1.535,2.308,1.939,4.785,
294,1.491,2.218,1.697,4.791,
295,0.116,0.656,0.156,2.085,
296,0.295,1.346,0.291,1.531,
297,1.015,1.682,1.25,3.53,
298,2.056,2.731,2.468,5.667,
299,0.165,0.858,0.228,0.862,
300,0.188,1.127,0.181,1.153,
301,0.105,6.059,0.091,1.302,
302,0.097,1.841,0.094,1.203,
303,0.252,1.559,0.281,1.397,
304,0.106,0.977,0.185,0.917,
305,2.525,3.352,3.019,5.979,
306,0.382,1.437,0.438,2.078,
307,0.418,1.428,0.438,1.916,
308,3.679,3.878,3.619,7.336,
309,1.225,2.25,1.169,3.647,
310,2.702,3.312,3.911,6.876,
311,1.319,1.836,1.855,3.735,
312,2.003,2.649,2.944,4.824,
313,4.518,4.808,6.245,8.756,
314,0.14,1.064,0.214,0.981,
315,0.53,1.917,0.728,2.138,
316,0.171,1.423,0.268,0.873,
317,0.14,0.81,0.159,0.881,
318,0.511,1.153,0.7,2.308,
319,0.42,1.382,0.434,1.792,
320,0.072,0.333,0.094,0.915,
321,1.301,2.016,1.342,4.085,
322,1.149,2.117,1.033,3.569,
323,0.725,300,0.812,2.351,
324,0.651,300,0.899,2.615,
325,3.788,3.894,4.001,7.227,
326,0.062,0.302,0.058,0.597,
327,0.144,2.081,0.214,1.007,
328,0.306,1.219,0.49,2.231,
329,0.176,1.439,0.192,1.082,
330,1.066,1.65,1.575,3.073,
331,0.178,0.713,0.191,0.871,
332,1.396,2.212,1.899,4.173,
333,0.957,1.646,1.195,3.095,
334,1.911,300,2.26,4.198,
335,0.199,2.969,0.308,1.259,
336,0.639,1.497,0.724,2.981,
337,0.2,1.014,0.157,1.011,
338,0.586,1.533,0.624,2.077,
339,3.363,3.545,3.497,6.906,
340,0.164,1.851,0.24,1.051,
341,0.339,1.417,0.452,1.56,
342,1.651,2.393,1.633,4.201,
343,1.385,2.076,1.23,3.91,
344,0.142,1.976,0.143,0.957,
345,0.094,0.653,0.161,1.361,
346,0.977,1.986,1.474,3.574,
347,0.073,0.439,0.093,0.947,
348,0.466,1.355,0.57,2.303,
349,0.228,0.825,0.196,1.232,
350,0.173,1.26,0.173,1.085,
351,0.246,1.21,0.416,1.418,
352,0.881,1.655,1.427,3.283,
353,0.025,0.056,0.029,0.076,
354,0.072,0.368,0.079,0.747,
355,2.028,2.169,2.332,4.457,
356,1.421,2.131,1.817,4.634,
357,2.176,2.742,2.973,6.503,
358,0.127,0.786,0.159,0.965,
359,2.515,3.285,2.794,6.619,
360,0.174,0.815,0.121,0.884,
361,0.558,1.538,0.605,2.69,
362,0.241,2.189,0.233,1.192,
363,0.408,7.765,0.339,1.728,
364,1.835,2.29,1.482,3.98,
365,1.256,1.949,1.534,3.438,
366,0.327,1.338,0.509,1.823,
367,3.395,3.931,4.073,7.323,
368,0.499,1.883,0.636,2.436,
369,0.313,1.231,0.332,1.792,
370,4.967,4.897,4.904,9.01,
371,1.468,2.403,2.15,3.906,
372,0.946,2.107,1.282,3.262,
373,4.127,3.936,4.798,7.644,
374,0.075,0.382,0.107,0.846,
375,0.08,1.029,0.166,1.703,
376,0.584,1.418,0.748,2.354,
377,0.174,1.263,0.172,1.064,
378,1.89,300,1.651,4.473,
379,5.821,5.428,5.597,9.583,
380,0.958,2.193,1.288,3.725,
381,1.284,1.925,1.745,4.762,
382,0.22,1.265,0.305,1.078,
383,0.766,1.804,0.836,3.047,
384,0.057,0.167,0.056,0.497,
385,0.188,1.806,0.202,1.429,
386,4.295,4.825,4.541,7.78,
387,2.818,3.179,3.161,6.388,
388,0.115,0.552,0.1,1.466,
389,2.212,2.565,2.152,5.121,
390,0.478,1.7,0.636,3.096,
391,0.533,1.437,0.67,2.864,
392,0.13,0.911,0.161,1.338,
393,6.648,6.191,8.001,10.161,
394,0.321,1.997,0.436,1.674,
395,0.593,1.568,0.705,2.222,
396,0.348,1.29,0.496,1.38,
397,0.73,209.794,1.134,2.566,
398,0.698,2.178,0.923,3.713,
399,1.19,2.294,1.212,3.64,
400,2.88,3.771,3.412,6.945,
401,0.645,1.765,0.836,3.052,
402,2.732,3.688,3.254,6.939,
403,1.127,2.199,1.196,4.171,
404,0.133,0.675,0.106,0.849,
405,0.739,1.439,0.488,1.926,
406,0.303,1.329,0.463,1.582,
407,0.196,3.089,0.274,0.874,
408,1.054,1.887,1.199,3.344,
409,2.132,3.447,2.393,5.005,
410,4.773,5.839,5.644,11.781,
411,0.306,2.263,0.209,1.114,
412,6.575,6.374,7.789,10.236,
413,0.221,1.605,0.321,1.136,
414,0.353,1.246,0.426,1.254,
415,1.404,2.376,2.028,4.14,
416,0.542,1.627,0.672,2.684,
417,2.58,3.294,2.797,5.435,
418,0.363,0.287,0.477,0.473,
419,0.561,1.475,0.587,2.637,
420,0.378,1.48,0.453,1.886,
421,0.54,1.185,0.611,2.116,
422,0.67,1.501,0.787,2.23,
423,0.119,0.914,0.153,1.087,
424,0.441,1.572,0.583,2.703,
425,0.159,1.491,0.199,1.032,
426,0.053,0.212,0.079,0.43,
427,5.385,4.322,5.423,8.564,
428,0.762,1.568,0.777,2.433,
429,0.264,1.625,0.31,1.231,
430,1.259,1.829,1.16,2.845,
431,0.149,3.582,0.161,1.412,
