1,104.954,57.417,0.019,0.008,0.005,
2,104.954,57.417,0.054,0.055,0.009,
3,104.954,57.417,0.086,0.074,0.013,
4,104.961,57.421,0.097,0.08,0.017,
5,104.961,57.421,0.136,0.1,0.021,
6,104.961,57.421,0.266,0.168,0.027,
7,107.437,58.886,0.28,0.181,0.031,
8,107.437,58.886,0.298,0.197,0.04,
9,107.437,58.886,0.332,0.219,0.046,
10,107.437,58.886,0.403,0.269,0.05,
11,107.437,58.886,0.439,0.303,0.055,
12,107.437,58.886,0.467,0.331,0.06,
13,107.437,58.886,0.498,0.359,0.067,
14,121.356,67.692,0.511,0.37,0.078,
15,121.356,67.692,0.527,0.384,0.083,
16,121.356,67.692,0.595,0.438,0.088,
17,121.356,67.692,0.644,0.458,0.092,
18,121.399,67.719,0.655,0.467,0.096,
19,121.399,67.719,0.714,0.503,0.101,
20,121.399,67.719,0.755,0.546,0.106,
21,121.399,67.719,0.789,0.557,0.109,
22,163.842,92.949,0.82,0.569,0.116,
23,163.877,92.973,0.832,0.579,0.12,
24,164.564,93.541,0.854,0.588,0.125,
25,164.564,93.541,0.906,0.633,0.135,
26,164.564,93.541,0.94,0.663,0.141,
27,164.564,93.541,0.963,0.676,0.145,
28,164.602,93.567,0.991,0.693,0.149,
29,164.602,93.567,1.036,0.73,0.153,
30,164.602,93.567,1.072,0.76,0.158,
31,164.602,93.567,1.112,0.778,0.163,
32,164.602,93.567,1.158,0.823,0.169,
33,359.987,195.048,1.178,0.838,0.173,
34,360.039,195.089,1.188,0.845,0.177,
35,360.039,195.089,1.247,0.883,0.182,
36,360.039,195.089,1.274,0.897,0.197,
37,360.039,195.089,1.297,0.919,0.201,
38,360.039,195.089,1.347,0.947000000000001,0.205,
39,360.039,195.089,1.374,0.964000000000001,0.21,
40,360.039,195.089,1.465,0.990000000000001,0.214,
41,361.729,196.2,1.481,1.004,0.217,
42,425.627,244.482,1.51,1.022,0.221,
43,425.627,244.482,1.544,1.048,0.225,
44,425.627,244.482,1.627,1.11,0.23,
45,425.64,244.492,1.661,1.117,0.234,
46,425.64,244.492,1.708,1.134,0.239,
47,425.64,244.492,1.764,1.164,0.244,
48,425.65,244.498,1.773,1.17,0.249,
49,425.65,244.498,1.8,1.194,0.253,
50,427.151,245.287,1.83,1.207,0.257,
51,432.395,247.783,1.877,1.217,0.261,
52,432.395,247.783,1.9,1.23,0.265,
53,432.428,247.8,1.911,1.238,0.269,
54,432.428,247.8,1.956,1.295,0.273,
55,432.428,247.8,1.991,1.325,0.279,
56,432.428,247.8,2.015,1.347,0.29,
57,432.428,247.8,2.034,1.366,0.298,
58,432.428,247.8,2.074,1.386,0.307,
59,432.428,247.8,2.093,1.402,0.311,
60,432.495,247.855,2.105,1.412,0.314,
61,432.495,247.855,2.129,1.433,0.318,
62,432.495,247.855,2.146,1.45,0.322,
63,432.495,247.855,2.202,1.478,0.326,
64,432.495,247.855,2.222,1.493,0.336,
65,432.495,247.855,2.238,1.502,0.339,
66,433.013,248.151,2.261,1.51,0.344,
67,433.013,248.151,2.285,1.528,0.348,
68,433.013,248.151,2.329,1.552,0.353,
69,433.013,248.151,2.384,1.58,0.358,
70,433.013,248.151,2.465,1.634,0.363,
71,433.013,248.151,2.516,1.679,0.368,
72,433.013,248.151,2.581,1.72,0.373,
73,433.013,248.151,2.601,1.738,0.378,
74,648.073,529.702,2.618,1.752,0.383,
75,649.569,530.745,2.632,1.765,0.388,
76,650.594,531.42,2.676,1.782,0.394,
77,650.594,531.42,2.741,1.817,0.399,
78,650.594,531.42,2.77,1.841,0.403,
79,650.594,531.42,2.802,1.869,0.413,
80,650.594,531.42,2.857,1.906,0.426,
81,650.594,531.42,2.886,1.927,0.43,
82,650.594,531.42,2.903,1.939,0.434,
83,662.711,539.394,2.914,1.947,0.438,
84,662.711,539.394,2.937,1.967,0.442,
85,662.962,539.571,2.95,1.978,0.448,
86,702.343,554.799,2.979,2.002,0.454,
87,702.343,554.799,2.997,2.017,0.458,
88,711.969,559.735,3.014,2.032,0.462,
