1,0.009,0.022,0.011,0.061,
2,0.034,0.038,0.029,0.082,
3,0.089,0.035,0.033,0.081,
4,0.009,0.021,0.008,0.011,
5,0.017,0.027,0.019,0.027,
6,0.041,0.056,0.049,0.089,
7,0.018,0.029,0.02,0.076,
8,0.015,0.015,0.022,0.026,
9,0.019,0.019,0.031,0.03,
10,0.038,0.03,0.038,0.038,
11,0.033,0.022,0.036,0.047,
12,0.028,0.027,0.066,0.032,
13,0.028,0.019,0.033,0.021,
14,0.036,0.01,0.015,0.011,
15,0.016,0.012,0.016,0.02,
16,0.047,0.04,0.062,0.068,
17,0.04,0.013,0.014,0.015,
18,0.036,0.009,0.016,0.015,
19,0.048,0.03,0.031,0.049,
20,0.031,0.02,0.028,0.051,
21,0.007,0.01,0.009,0.034,
22,0.008,0.01,0.022,0.035,
23,0.01,0.009,0.012,0.012,
24,0.032,0.008,0.058,0.01,
25,0.137,0.027,0.076,0.032,
26,0.064,0.02,0.096,0.026,
27,0.021,0.009,0.035,0.012,
28,0.08,0.013,0.065,0.022,
29,0.023,0.021,0.042,0.045,
30,0.051,0.025,0.028,0.037,
31,0.016,0.01,0.034,0.027,
32,0.035,0.034,0.109,0.053,
33,0.011,0.011,0.023,0.02,
34,0.016,0.008,0.036,0.119,
35,0.024,0.025,0.027,0.035,
36,0.095,0.009,0.009,0.023,
37,0.019,0.015,0.018,0.04,
38,0.054,0.022,0.026,0.027,
39,0.031,0.021,0.094,0.034,
40,0.047,0.02,0.021,0.023,
41,0.015,0.007,0.037,0.021,
42,0.023,0.019,0.024,0.037,
43,0.022,0.014,0.031,0.022,
44,0.038,0.037,0.053,0.076,
45,0.032,0.005,0.006,0.014,
46,0.013,0.014,0.013,0.056,
47,0.036,0.021,0.025,0.03,
48,0.009,0.006,0.012,0.011,
49,0.019,0.017,0.021,0.031,
50,0.013,0.015,0.012,0.013,
51,0.011,0.008,0.009,0.02,
52,0.02,0.006,0.01,0.14,
53,0.01,0.007,0.01,0.01,
54,0.028,0.026,0.028,0.044,
55,0.018,0.018,0.031,0.02,
